scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
16,Gabriel Moscardo,SC Braga,liga-portugal,Portugal,21,Midfield,941.0,0.0,0.0,0.0,0.0,7.0,88.46612885250264
17,Dies Janse,FC Groningen,eredivisie,Netherlands,20,Defender,2724.0,2.0,2.0,0.066,0.066,6.5,88.43931246874325
18,Diogo Sousa,Vitória Guimarães SC,liga-portugal,Portugal,20,Midfield,1162.0,1.0,1.0,0.077,0.077,8.0,88.22820333612452
19,Zeno Van Den Bosch,Royal Antwerp FC,jupiler-pro-league,Belgium,23,Defender,2470.0,0.0,0.0,0.0,0.0,6.0,88.18724783973036
20,Kamiel Van De Perre,Union Saint-Gilloise,jupiler-pro-league,Belgium,22,Midfield,1619.0,0.0,3.0,0.0,0.167,8.0,88.04993140405973
21,Jorthy Mokio,Ajax Amsterdam,eredivisie,Netherlands,18,Midfield,1323.0,2.0,2.0,0.136,0.136,8.0,88.00412558284786
22,Oumar Camara,Vitória Guimarães SC,liga-portugal,Portugal,19,Attack,1504.0,5.0,2.0,0.299,0.12,8.0,87.91961519165771
23,Esmir Bajraktarevic,PSV Eindhoven,eredivisie,Netherlands,21,Attack,1062.0,4.0,5.0,0.339,0.424,8.0,87.81376068403091
24,Caleb Yirenkyi,FC Nordsjaelland,superliga,Denmark,20,Midfield,1804.0,2.0,5.0,0.1,0.249,10.0,87.70337704158094
25,Romeo Vermant,Club Brugge KV,jupiler-pro-league,Belgium,22,Attack,1070.0,7.0,2.0,0.589,0.168,9.0,87.65150890659254
26,Tuur Rommens,KVC Westerlo,jupiler-pro-league,Belgium,23,Defender,1223.0,0.0,0.0,0.0,0.0,7.0,87.58873441199913
27,Yassine Titraoui,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,23,Midfield,2367.0,4.0,0.0,0.152,0.0,7.0,87.46791663637231
28,Nazinho,Cercle Brugge,jupiler-pro-league,Belgium,23,Defender,2074.0,3.0,4.0,0.13,0.174,6.0,87.07174569204403
29,Sean Steur,Ajax Amsterdam,eredivisie,Netherlands,18,Midfield,1135.0,1.0,1.0,0.079,0.079,7.0,86.91771620712154
30,Alonzo Engwanda,FC Utrecht,eredivisie,Netherlands,23,Midfield,2925.0,0.0,1.0,0.0,0.031,8.0,86.88631238452795
31,Prince Amoako Junior,FC Nordsjaelland,superliga,Denmark,19,Attack,1672.0,6.0,4.0,0.323,0.215,7.0,86.71509990580793
32,Başar Önal,NEC Nijmegen,eredivisie,Netherlands,22,Attack,2070.0,7.0,8.0,0.304,0.348,7.0,86.42841879120398
33,Mathias de Amorim,FC Famalicão,liga-portugal,Portugal,22,Midfield,2470.0,4.0,2.0,0.146,0.073,10.0,86.41534830536527
34,Leo Sauer,Feyenoord Rotterdam,eredivisie,Netherlands,21,Attack,1419.0,3.0,2.0,0.19,0.127,7.0,85.8746613919019
35,Bastien Meupiyou,FC Alverca,liga-portugal,Portugal,20,Defender,2619.0,0.0,0.0,0.0,0.0,7.0,85.6530619301836
36,Amorim,FC Alverca,liga-portugal,Portugal,21,Midfield,1634.0,2.0,0.0,0.11,0.0,8.0,85.5974803245583
37,Renato Nhaga,Casa Pia AC,liga-portugal,Portugal,19,Midfield,1171.0,2.0,0.0,0.154,0.0,6.0,85.3137167948142
38,Mario Dorgeles,SC Braga,liga-portugal,Portugal,22,Midfield,990.0,2.0,1.0,0.182,0.091,10.0,85.29417853349992
39,Redouane Halhal,KV Mechelen,jupiler-pro-league,Belgium,23,Defender,2039.0,1.0,2.0,0.044,0.088,5.0,84.7803868402606
40,Mathias Delorge,KAA Gent,jupiler-pro-league,Belgium,22,Midfield,1053.0,0.0,2.0,0.0,0.171,7.0,84.33186944829028
